Case ID,Priority,Issue Type,Report Channel,Variant,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,SLA_Violation,SLA_Risk_Probability,Risk_Level
INC0001,Medium,Performance Issue,Website,Variant 4,7,5,1.0,0,35,11,0,0,0.0,Dusuk
INC0002,High,Performance Issue,App,Variant 3,8,5,1.0,0,40,7,0,0,0.1374895645329226,Dusuk
INC0003,High,Feature Request,Website,Variant 9,10,5,1.0,0,50,19,0,0,0.7848590772383192,Yuksek
INC0004,Medium,Incident,Email,Variant 1,6,3,0.0,0,18,18,0,0,0.0,Dusuk
INC0005,Low,Performance Issue,Website,Variant 3,8,6,1.0,0,48,12,0,0,0.015167497729399767,Dusuk
INC0006,Medium,Bug,Email,Variant 7,15,8,3.0,0,120,5,1,1,0.6415149259545952,Orta
INC0007,Low,Feature Request,Email,Variant 1,6,3,0.0,0,18,7,0,0,0.0,Dusuk
INC0008,Medium,Incident,Website,Variant 3,8,5,1.0,0,40,4,0,0,0.0019374195212224158,Dusuk
INC0009,Medium,Maintenance,Website,Variant 3,8,4,1.0,0,32,23,1,0,0.0,Dusuk
INC0010,High,Service Request,Email,Variant 2,4,3,0.0,1,12,6,0,0,0.0,Dusuk
INC0011,Medium,Feature Request,Email,Variant 3,8,5,1.0,0,40,14,0,0,0.0019374195212224158,Dusuk
INC0012,Medium,Technical Issue,App,Variant 9,10,5,1.0,0,50,16,1,0,0.04720221747285793,Dusuk
INC0013,Medium,Incident,Website,Variant 1,6,3,0.0,0,18,7,0,0,0.0,Dusuk
INC0014,Medium,Bug,Email,Variant 5,12,5,1.0,1,60,11,0,0,0.016923251042509767,Dusuk
INC0015,Medium,Technical Issue,Website,Variant 3,8,4,1.0,0,32,9,0,0,0.0013972335773362492,Dusuk
INC0016,High,Technical Issue,Website,Variant 3,8,5,1.0,0,40,12,1,0,0.06808675384439417,Dusuk
INC0017,Medium,Performance Issue,Website,Variant 1,6,3,0.0,0,18,5,0,0,0.0,Dusuk
