Variant,Priority,Issue Type,Report Channel,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,SLA_Violation
Variant 4,Medium,Performance Issue,Website,7,5,1.0,0,35,11,0,0
Variant 3,High,Performance Issue,App,8,5,1.0,0,40,7,0,0
Variant 9,High,Feature Request,Website,10,5,1.0,0,50,19,0,0
Variant 1,Medium,Incident,Email,6,3,0.0,0,18,18,0,0
Variant 3,Low,Performance Issue,Website,8,6,1.0,0,48,12,0,0
Variant 7,Medium,Bug,Email,15,8,3.0,0,120,5,1,1
Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,7,0,0
Variant 3,Medium,Incident,Website,8,5,1.0,0,40,4,0,0
Variant 3,Medium,Maintenance,Website,8,4,1.0,0,32,23,1,0
Variant 2,High,Service Request,Email,4,3,0.0,1,12,6,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,14,0,0
Variant 9,Medium,Technical Issue,App,10,5,1.0,0,50,16,1,0
Variant 1,Medium,Incident,Website,6,3,0.0,0,18,7,0,0
Variant 5,Medium,Bug,Email,12,5,1.0,1,60,11,0,0
Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,9,0,0
Variant 3,High,Technical Issue,Website,8,5,1.0,0,40,12,1,0
Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,5,0,0
Variant 1,Low,Technical Issue,Website,6,3,0.0,0,18,2,1,0
Variant 3,Low,Incident,Email,8,5,1.0,0,40,21,1,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,14,0,0
Variant 3,Medium,Incident,Email,8,3,1.0,0,24,1,0,0
Variant 6,Medium,Performance Issue,Email,10,5,2.0,0,50,16,0,0
Variant 4,High,Bug,Email,7,3,1.0,0,21,15,1,0
Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,20,1,0
Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,5,0,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,7,0,0
Variant 1,Low,Performance Issue,App,6,3,0.0,0,18,20,0,0
Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,17,1,0
Variant 5,Medium,Technical Issue,Phone,12,5,1.0,1,60,7,0,0
Variant 4,Low,Feature Request,Email,7,4,1.0,0,28,15,0,0
Variant 10,Medium,Incident,Website,6,4,1.0,1,24,7,1,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,2,1,0
Variant 6,Low,Bug,Email,10,7,2.0,0,70,7,1,0
Variant 1,Low,Technical Issue,Email,6,2,0.0,0,12,23,0,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,1,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,3,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,17,0,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,4,1,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,18,0,0
Variant 8,Low,Feature Request,Website,10,3,0.0,0,30,14,0,0
Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,5,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,6,0,0
Variant 3,Medium,Incident,Website,8,3,1.0,0,24,3,1,0
Variant 7,Medium,Bug,Email,15,7,3.0,0,105,19,0,0
Variant 7,Medium,Bug,Email,15,8,3.0,0,120,12,0,0
Variant 1,Low,Performance Issue,Email,6,2,0.0,0,12,19,0,0
Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,1,1,0
Variant 6,Medium,Incident,Email,10,7,2.0,0,70,20,0,0
Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,20,1,0
Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,21,1,0
Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,5,1,0
Variant 1,Medium,Incident,Email,6,3,0.0,0,18,19,0,0
Variant 1,Medium,Incident,Website,6,3,0.0,0,18,16,0,0
Variant 3,Low,Performance Issue,Website,8,6,1.0,0,48,7,1,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,3,0,0
Variant 11,High,Bug,Website,6,3,0.0,0,18,21,1,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,17,0,0
Variant 7,Medium,Bug,Website,15,6,3.0,0,90,12,1,0
Variant 3,High,Feature Request,Email,8,3,1.0,0,24,10,1,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,4,1,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,0,1,0
Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,5,1,0
Variant 2,Medium,Technical Issue,Email,4,3,0.0,1,12,9,1,0
Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,5,1,0
Variant 4,Medium,Feature Request,Email,7,6,1.0,0,42,5,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,14,0,0
Variant 2,High,Incident,Email,4,3,0.0,1,12,14,0,0
Variant 5,Medium,Performance Issue,Website,12,5,1.0,1,60,22,0,0
Variant 4,High,Feature Request,Email,7,4,1.0,0,28,0,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,20,0,0
Variant 4,Low,Bug,Email,7,4,1.0,0,28,23,0,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,7,0,0
Variant 3,Medium,Incident,Website,8,6,1.0,0,48,3,0,0
Variant 3,Low,Technical Issue,Website,8,5,1.0,0,40,0,0,0
Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,16,0,0
Variant 1,Medium,Incident,Email,6,2,0.0,0,12,9,0,0
Variant 3,Low,Incident,Website,8,5,1.0,0,40,16,0,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,3,0,0
Variant 4,Medium,Feature Request,Website,7,5,1.0,0,35,8,0,0
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,18,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,19,0,0
Variant 1,Medium,Feature Request,Email,6,2,0.0,0,12,18,0,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,8,0,0
Variant 12,Low,Bug,Email,6,3,0.0,0,18,17,0,0
Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,11,0,0
Variant 3,Medium,Performance Issue,Website,8,3,1.0,0,24,9,1,0
Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,11,1,0
Variant 5,Medium,Maintenance,Website,12,6,1.0,1,72,10,0,0
