Case ID,Variant,Priority,Issue Type,Report Channel,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,Resolution_Time_Hours,Predicted_Duration_Hours,Absolute_Error_Hours
INC0001,Variant 4,Medium,Performance Issue,Website,7,5,1.0,0,35,11,0,10.183333333333334,12.08215928130512,1.8988259479717868
INC0002,Variant 3,High,Performance Issue,App,8,5,1.0,0,40,7,0,5.716666666666667,5.66761571869489,0.04905094797177689
INC0003,Variant 9,High,Feature Request,Website,10,5,1.0,0,50,19,0,7.966666666666667,8.355977102372933,0.3893104357062658
INC0004,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,18,0,9.566666666666666,8.719471935861883,0.8471947308047838
INC0005,Variant 3,Low,Performance Issue,Website,8,6,1.0,0,48,12,0,29.866666666666667,27.342148715327887,2.5245179513387797
INC0006,Variant 7,Medium,Bug,Email,15,8,3.0,0,120,5,1,25.0,23.400378723745384,1.5996212762546165
INC0007,Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,7,0,15.716666666666667,19.33285820306235,3.616191536395684
INC0008,Variant 3,Medium,Incident,Website,8,5,1.0,0,40,4,0,14.116666666666667,12.726330327829366,1.390336338837301
INC0009,Variant 3,Medium,Maintenance,Website,8,4,1.0,0,32,23,1,12.683333333333334,13.16840544193461,0.48507210860127614
INC0010,Variant 2,High,Service Request,Email,4,3,0.0,1,12,6,0,2.6,2.2596228856020533,0.3403771143979468
INC0011,Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,14,0,14.25,13.128360938997458,1.1216390610025417
INC0012,Variant 9,Medium,Technical Issue,App,10,5,1.0,0,50,16,1,16.8,17.07590996673081,0.2759099667308078
INC0013,Variant 1,Medium,Incident,Website,6,3,0.0,0,18,7,0,7.55,8.933655501905504,1.383655501905504
INC0014,Variant 5,Medium,Bug,Email,12,5,1.0,1,60,11,0,18.083333333333332,19.22744113756615,1.1441078042328172
INC0015,Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,9,0,11.366666666666667,11.926066712349927,0.55940004568326
INC0016,Variant 3,High,Technical Issue,Website,8,5,1.0,0,40,12,1,7.383333333333334,6.891623831569664,0.4917095017636699
INC0017,Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,5,0,11.35,9.564755086271761,1.7852449137282385
INC0018,Variant 1,Low,Technical Issue,Website,6,3,0.0,0,18,2,1,14.55,19.780936988936997,5.230936988936996
INC0019,Variant 3,Low,Incident,Email,8,5,1.0,0,40,21,1,27.333333333333332,28.06114279501365,0.7278094616803195
INC0020,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,14,0,13.766666666666667,12.987385827948469,0.7792808387181989
INC0021,Variant 3,Medium,Incident,Email,8,3,1.0,0,24,1,0,13.633333333333333,13.747812694404365,0.11447936107103196
INC0022,Variant 6,Medium,Performance Issue,Email,10,5,2.0,0,50,16,0,14.266666666666667,14.84850476190476,0.5818380952380924
INC0023,Variant 4,High,Bug,Email,7,3,1.0,0,21,15,1,6.766666666666667,6.20674296737213,0.5599236992945364
INC0024,Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,20,1,21.15,26.937449931164508,5.78744993116451
INC0025,Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,5,0,19.233333333333334,18.84530552449547,0.38802780883786525
INC0026,Variant 3,Medium,Incident,Website,8,4,1.0,0,32,7,0,12.733333333333333,14.647401146457032,1.9140678131236992
INC0027,Variant 1,Low,Performance Issue,App,6,3,0.0,0,18,20,0,22.833333333333332,20.854134427146903,1.9791989061864292
INC0028,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,17,1,14.216666666666667,13.504912487974988,0.7117541786916792
INC0029,Variant 5,Medium,Technical Issue,Phone,12,5,1.0,1,60,7,0,20.383333333333333,18.96981355820107,1.4135197751322615
INC0030,Variant 4,Low,Feature Request,Email,7,4,1.0,0,28,15,0,28.15,27.349963341134185,0.8000366588658139
INC0031,Variant 10,Medium,Incident,Website,6,4,1.0,1,24,7,1,8.75,8.93102354497355,0.18102354497355044
INC0032,Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,2,1,7.166666666666667,6.9694951590530065,0.19717150761366042
INC0033,Variant 6,Low,Bug,Email,10,7,2.0,0,70,7,1,35.5,31.05581279260863,4.444187207391369
INC0035,Variant 1,Low,Technical Issue,Email,6,2,0.0,0,12,23,0,20.766666666666666,21.667441945246118,0.9007752785794523
INC0036,Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,1,0,26.35,26.586236459836492,0.23623645983649055
INC0037,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,3,0,12.366666666666667,13.63835973730991,1.2716930706432432
INC0038,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,17,0,9.433333333333334,8.592716219323723,0.8406171140096106
INC0039,Variant 1,Low,Bug,Email,6,3,0.0,0,18,4,1,16.9,19.875166591279104,2.9751665912791054
INC0040,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,18,0,8.816666666666666,10.047905573593068,1.2312389069264018
INC0041,Variant 8,Low,Feature Request,Website,10,3,0.0,0,30,14,0,32.36666666666667,34.07894435626102,1.7122776895943517
INC0042,Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,5,0,12.7,12.835699073765742,0.13569907376574264
INC0043,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,6,0,7.666666666666667,9.02622954076487,1.359562874098203
INC0044,Variant 3,Medium,Incident,Website,8,3,1.0,0,24,3,1,14.566666666666666,13.698345404757687,0.8683212619089797
INC0045,Variant 7,Medium,Bug,Email,15,7,3.0,0,105,19,0,20.516666666666666,22.685266732804237,2.1686000661375715
INC0046,Variant 7,Medium,Bug,Email,15,8,3.0,0,120,12,0,20.433333333333334,20.544471993746985,0.11113866041365128
INC0047,Variant 1,Low,Performance Issue,Email,6,2,0.0,0,12,19,0,20.65,20.20391253006254,0.44608746993745996
INC0048,Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,1,1,13.066666666666666,13.768720216049378,0.7020535493827111
INC0049,Variant 6,Medium,Incident,Email,10,7,2.0,0,70,20,0,14.633333333333333,14.80446444003528,0.17113110670194764
INC0050,Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,20,1,23.116666666666667,19.817249993216677,3.29941667344999
INC0051,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,21,1,12.35,12.957858718750384,0.6078587187503839
INC0052,Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,5,1,19.416666666666668,23.80727095759178,4.390604290925111
INC0053,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,19,0,9.566666666666666,9.517453611820278,0.049213054846388715
INC0054,Variant 1,Medium,Incident,Website,6,3,0.0,0,18,16,0,9.966666666666667,9.65109076378868,0.31557590287798654
INC0055,Variant 3,Low,Performance Issue,Website,8,6,1.0,0,48,7,1,28.716666666666665,29.063400970017657,0.346734303350992
INC0056,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,3,0,15.466666666666667,13.41579262726696,2.050874039399707
INC0057,Variant 11,High,Bug,Website,6,3,0.0,0,18,21,1,3.0,3.6561361231361205,0.6561361231361205
INC0058,Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,17,0,5.616666666666666,6.4652908165908185,0.8486241499241522
INC0059,Variant 7,Medium,Bug,Website,15,6,3.0,0,90,12,1,18.283333333333335,18.72277506613755,0.43944173280421595
INC0060,Variant 3,High,Feature Request,Email,8,3,1.0,0,24,10,1,6.483333333333333,7.000467005371179,0.5171336720378452
INC0061,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,4,1,10.983333333333333,13.459836000881836,2.4765026675485036
INC0062,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,0,1,12.133333333333333,13.81484428934808,1.6815109560147476
INC0063,Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,5,1,31.283333333333335,32.74089764109348,1.4575643077601477
INC0064,Variant 2,Medium,Technical Issue,Email,4,3,0.0,1,12,9,1,3.316666666666667,3.9435616402116422,0.6268949735449754
INC0065,Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,5,1,6.933333333333334,9.016016452220628,2.082683118887294
INC0066,Variant 4,Medium,Feature Request,Email,7,6,1.0,0,42,5,0,15.616666666666667,13.49198684263268,2.1246798240339864
INC0067,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,14,0,11.483333333333333,13.700693766191934,2.2173604328586016
INC0068,Variant 2,High,Incident,Email,4,3,0.0,1,12,14,0,2.5166666666666666,2.532847156084654,0.01618048941798733
INC0069,Variant 5,Medium,Performance Issue,Website,12,5,1.0,1,60,22,0,20.316666666666666,20.36409268077603,0.04742601410936231
INC0071,Variant 4,High,Feature Request,Email,7,4,1.0,0,28,0,0,6.916666666666667,6.082945473353812,0.8337211933128552
INC0072,Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,20,0,8.666666666666666,9.26357552432135,0.5969088576546842
INC0073,Variant 4,Low,Bug,Email,7,4,1.0,0,28,23,0,22.05,22.019948266394103,0.03005173360589808
INC0074,Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,7,0,12.533333333333333,12.67518088477475,0.14184755144141725
INC0075,Variant 3,Medium,Incident,Website,8,6,1.0,0,48,3,0,13.616666666666667,13.382011706349205,0.2346549603174619
INC0076,Variant 3,Low,Technical Issue,Website,8,5,1.0,0,40,0,0,27.05,27.68040531455655,0.6304053145565476
INC0077,Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,16,0,28.783333333333335,25.755760507856348,3.0275728254769874
INC0078,Variant 1,Medium,Incident,Email,6,2,0.0,0,12,9,0,9.783333333333333,8.906085006968345,0.8772483263649882
INC0079,Variant 3,Low,Incident,Website,8,5,1.0,0,40,16,0,25.533333333333335,26.973052821869462,1.4397194885361273
INC0081,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,3,0,8.9,8.476751419413926,0.4232485805860744
INC0082,Variant 4,Medium,Feature Request,Website,7,5,1.0,0,35,8,0,10.233333333333333,12.576537398866575,2.343204065533243
INC0083,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,18,0,10.716666666666667,9.554013041321715,1.1626536253449515
INC0084,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,19,0,9.416666666666666,8.80549209741305,0.6111745692536168
INC0085,Variant 1,Medium,Feature Request,Email,6,2,0.0,0,12,18,0,9.316666666666666,8.800490400136352,0.516176266530314
INC0086,Variant 3,Low,Service Request,Website,8,4,1.0,0,32,8,0,33.416666666666664,28.300158062770553,5.116508603896111
INC0087,Variant 12,Low,Bug,Email,6,3,0.0,0,18,17,0,21.716666666666665,19.069393322792056,2.647273343874609
INC0088,Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,11,0,8.916666666666666,8.583257033385093,0.3334096332815726
INC0089,Variant 3,Medium,Performance Issue,Website,8,3,1.0,0,24,9,1,15.5,14.379219605240438,1.1207803947595618
INC0090,Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,11,1,22.483333333333334,20.22438953870203,2.2589437946313033
INC0091,Variant 5,Medium,Maintenance,Website,12,6,1.0,1,72,10,0,16.866666666666667,17.879426565255727,1.01275989858906
INC0092,Variant 3,Low,Feature Request,Email,8,6,1.0,0,48,22,0,25.683333333333334,25.689937013911997,0.006603680578663784
INC0093,Variant 5,Medium,Performance Issue,Email,12,6,1.0,1,72,18,0,14.8,17.05558584656085,2.255585846560848
INC0094,Variant 1,Medium,Feature Request,Phone,6,2,0.0,0,12,23,0,8.2,9.002222821189436,0.8022228211894369
INC0095,Variant 3,Medium,Service Request,Email,8,5,1.0,0,40,19,0,11.033333333333333,14.496370317799498,3.4630369844661644
INC0096,Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,16,0,7.033333333333333,7.428698266394093,0.39536493306076004
INC0097,Variant 3,Low,Performance Issue,Email,8,6,1.0,0,48,0,0,24.75,25.104681481481485,0.35468148148148515
INC0098,Variant 2,Medium,Maintenance,Website,4,2,0.0,1,8,14,0,5.7,5.238765444123779,0.46123455587622075
INC0099,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,19,0,9.75,13.595083699633692,3.845083699633692
INC0100,Variant 3,Medium,Incident,Website,8,4,1.0,0,32,13,0,15.716666666666667,13.355675292120829,2.360991374545838
INC0101,Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,1,17.666666666666668,18.96647159892578,1.2998049322591108
INC0102,Variant 1,Low,Service Request,Website,6,2,0.0,0,12,21,0,18.05,18.62544332411416,0.5754433241141577
INC0103,Variant 1,Medium,Technical Issue,Email,6,2,0.0,0,12,16,0,9.95,8.84264002586919,1.1073599741308087
INC0104,Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,11,0,23.85,26.933641897146074,3.083641897146073
INC0105,Variant 4,Medium,Bug,Website,7,4,1.0,0,28,9,0,15.7,12.769240464782122,2.9307595352178772
INC0106,Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,11,0,33.1,34.411081503527335,1.3110815035273333
INC0107,Variant 1,Low,Maintenance,Website,6,3,0.0,0,18,4,0,15.7,18.380544914807423,2.680544914807424
INC0108,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,17,0,8.033333333333333,9.265045278563552,1.2317119452302183
INC0109,Variant 3,Low,Performance Issue,App,8,3,1.0,0,24,13,1,25.883333333333333,28.11723967591048,2.2339063425771464
INC0110,Variant 4,Medium,Performance Issue,Email,7,4,1.0,0,28,18,0,11.033333333333333,12.375052685894353,1.3417193525610198
INC0111,Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,3,1,22.433333333333334,18.414794168485837,4.018539164847496
INC0112,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,22,0,12.683333333333334,13.497721408679858,0.8143880753465247
INC0113,Variant 4,Medium,Bug,Email,7,4,1.0,0,28,12,0,10.416666666666666,12.648043677310332,2.2313770106436657
INC0114,Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,23,1,14.216666666666667,13.894210555648069,0.3224561110185977
INC0115,Variant 3,Low,Technical Issue,Website,8,3,1.0,0,24,19,0,30.033333333333335,26.854744332210974,3.1785890011223614
INC0116,Variant 5,Medium,Bug,Email,12,5,1.0,1,60,23,0,19.916666666666668,18.94306424963924,0.9736024170274291
INC0117,Variant 3,Low,Incident,Website,8,5,1.0,0,40,2,0,29.0,28.227609315607193,0.772390684392807
INC0118,Variant 1,Medium,Bug,Email,6,3,0.0,0,18,12,0,9.016666666666667,9.252499878569042,0.23583321190237427
INC0119,Variant 5,Medium,Technical Issue,Email,12,5,1.0,1,60,5,0,15.783333333333333,17.8405094797178,2.0571761463844656
INC0120,Variant 3,Medium,Incident,Website,8,4,1.0,0,32,22,0,14.1,13.205796338383838,0.8942036616161619
INC0121,Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,21,0,11.65,9.966709072400011,1.6832909275999892
INC0122,Variant 4,High,Incident,Email,7,3,1.0,0,21,15,0,7.833333333333333,6.956328571428576,0.8770047619047574
INC0123,Variant 1,High,Bug,Email,6,3,0.0,0,18,6,0,4.333333333333333,4.480323310186549,0.1469899768532157
INC0124,Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,20,0,7.466666666666667,6.672117125158792,0.7945495415078749
INC0125,Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,6,0,29.766666666666666,28.033411945032853,1.7332547216338128
INC0126,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,7,0,9.133333333333333,8.924469770507264,0.20886356282606933
INC0127,Variant 4,Medium,Technical Issue,Email,7,4,1.0,0,28,19,0,13.383333333333333,13.23950032467532,0.14383300865801374
INC0128,Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,1,0,6.983333333333333,8.157830609071377,1.1744972757380436
INC0129,Variant 5,High,Bug,Email,12,6,1.0,1,72,12,1,9.766666666666667,9.828506128747804,0.06183946208113689
INC0130,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,1,0,8.916666666666666,9.6052476935102,0.6885810268435346
INC0131,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,10,1,13.083333333333334,12.909949515376601,0.17338381795673286
INC0132,Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,23,0,34.63333333333333,35.00406150793653,0.37072817460319385
INC0133,Variant 12,Low,Feature Request,Website,6,3,0.0,0,18,0,1,17.283333333333335,18.01178819529236,0.7284548619590261
INC0134,Variant 1,Medium,Incident,Website,6,2,0.0,0,12,6,0,9.683333333333334,9.636497184759685,0.04683614857364837
INC0135,Variant 3,Medium,Performance Issue,App,8,4,1.0,0,32,12,0,14.9,13.388385083962511,1.5116149160374892
INC0136,Variant 6,Medium,Service Request,Website,10,5,2.0,0,50,10,0,16.166666666666668,15.964748544973537,0.20191812169313117
INC0137,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,10,0,12.35,12.866547971897525,0.5165479718975252
INC0138,Variant 3,High,Service Request,Website,8,5,1.0,0,40,4,0,5.583333333333333,6.138839428010265,0.5555060946769323
INC0139,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,5,1,8.166666666666666,8.604516288649625,0.4378496219829593
INC0140,Variant 3,Medium,Service Request,Email,8,4,1.0,0,32,20,0,12.616666666666667,13.394601449224911,0.7779347825582441
INC0141,Variant 3,High,Performance Issue,App,8,5,1.0,0,40,8,0,6.466666666666667,6.183941703975042,0.28272496269162506
INC0142,Variant 3,Medium,Feature Request,Website,8,6,1.0,0,48,0,0,15.6,14.138481962944473,1.4615180370555265
INC0143,Variant 1,Low,Technical Issue,Email,6,3,0.0,0,18,15,1,21.083333333333332,20.09687053239063,0.9864628009427037
INC0144,Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,0,0,29.85,28.826132534361914,1.0238674656380873
INC0145,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,7,0,12.05,12.619435484861622,0.5694354848616214
INC0146,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,13,0,13.183333333333334,13.265688715897486,0.08235538256415253
INC0147,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,4,0,7.033333333333333,8.33381637123316,1.300483037899827
INC0148,Variant 1,Low,Feature Request,Email,6,2,0.0,0,12,1,1,18.466666666666665,19.17335224266476,0.7066855759980939
INC0149,Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,16,0,14.833333333333334,12.927686307211303,1.9056470261220309
INC0150,Variant 8,Medium,Performance Issue,Website,10,3,0.0,0,30,0,0,19.766666666666666,18.407797015330324,1.3588696513363416
INC0151,Variant 1,High,Incident,Email,6,2,0.0,0,12,9,0,4.1,4.012975156016825,0.08702484398317445
INC0152,Variant 1,Medium,Feature Request,Phone,6,3,0.0,0,18,17,0,10.016666666666667,9.852766843033512,0.16389982363315525
INC0153,Variant 1,Medium,Feature Request,App,6,2,0.0,0,12,19,1,10.0,8.900220382395378,1.0997796176046215
INC0154,Variant 11,High,Bug,Website,6,4,0.0,0,24,22,1,3.816666666666667,4.21790622695206,0.4012395602853931
INC0155,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,21,1,15.716666666666667,13.369897328288987,2.3467693383776798
INC0156,Variant 5,Medium,Incident,Website,12,5,1.0,1,60,14,0,20.316666666666666,19.314005511463858,1.0026611552028086
INC0157,Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,12,0,8.233333333333333,9.117842798007704,0.8845094646743714
INC0158,Variant 8,Medium,Bug,App,10,3,0.0,0,30,21,1,14.383333333333333,16.801589584335417,2.4182562510020844
INC0159,Variant 8,Medium,Incident,Email,10,3,0.0,0,30,11,1,19.45,18.862246604938296,0.5877533950617035
INC0160,Variant 12,Medium,Performance Issue,Website,6,3,0.0,0,18,9,0,8.85,8.844542767991264,0.005457232008735602
INC0161,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,8,0,9.866666666666667,9.408391992204223,0.4582746744624444
INC0162,Variant 3,Medium,Incident,App,8,4,1.0,0,32,6,1,10.85,12.314250529100534,1.4642505291005339
INC0163,Variant 3,Low,Technical Issue,Website,8,3,1.0,0,24,21,0,25.716666666666665,27.25430231116015,1.5376356444934842
INC0164,Variant 1,High,Bug,Website,6,3,0.0,0,18,14,0,6.066666666666666,4.244267170687881,1.822399495978785
INC0165,Variant 3,Medium,Service Request,Website,8,5,1.0,0,40,2,0,13.5,13.341351354143859,0.15864864585614136
INC0166,Variant 1,Medium,Performance Issue,Email,6,2,0.0,0,12,14,1,8.55,8.594360748356575,0.04436074835657422
INC0167,Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,9,0,30.333333333333332,26.91357446442446,3.419758868908872
INC0168,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,19,1,14.466666666666667,13.301020057257558,1.1656466094091087
INC0169,Variant 2,High,Performance Issue,Website,4,2,0.0,1,8,2,0,2.533333333333333,2.1365112213403887,0.3968221119929445
INC0170,Variant 4,Medium,Service Request,Email,7,4,1.0,0,28,20,1,14.383333333333333,13.0845391313933,1.2987942019400336
INC0171,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,2,1,7.483333333333333,9.543806642739973,2.06047330940664
INC0172,Variant 3,Medium,Performance Issue,Email,8,6,1.0,0,48,13,0,16.183333333333334,13.123099177674169,3.060234155659165
