Case ID,Variant,Priority,Issue Type,Report Channel,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,Resolution_Time_Hours
INC0001,Variant 4,Medium,Performance Issue,Website,7,5,1.0,0,35,11,0,10.183333333333334
INC0002,Variant 3,High,Performance Issue,App,8,5,1.0,0,40,7,0,5.716666666666667
INC0003,Variant 9,High,Feature Request,Website,10,5,1.0,0,50,19,0,7.966666666666667
INC0004,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,18,0,9.566666666666666
INC0005,Variant 3,Low,Performance Issue,Website,8,6,1.0,0,48,12,0,29.866666666666667
INC0006,Variant 7,Medium,Bug,Email,15,8,3.0,0,120,5,1,25.0
INC0007,Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,7,0,15.716666666666667
INC0008,Variant 3,Medium,Incident,Website,8,5,1.0,0,40,4,0,14.116666666666667
INC0009,Variant 3,Medium,Maintenance,Website,8,4,1.0,0,32,23,1,12.683333333333334
INC0010,Variant 2,High,Service Request,Email,4,3,0.0,1,12,6,0,2.6
INC0011,Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,14,0,14.25
INC0012,Variant 9,Medium,Technical Issue,App,10,5,1.0,0,50,16,1,16.8
INC0013,Variant 1,Medium,Incident,Website,6,3,0.0,0,18,7,0,7.55
INC0014,Variant 5,Medium,Bug,Email,12,5,1.0,1,60,11,0,18.083333333333332
INC0015,Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,9,0,11.366666666666667
INC0016,Variant 3,High,Technical Issue,Website,8,5,1.0,0,40,12,1,7.383333333333334
INC0017,Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,5,0,11.35
INC0018,Variant 1,Low,Technical Issue,Website,6,3,0.0,0,18,2,1,14.55
INC0019,Variant 3,Low,Incident,Email,8,5,1.0,0,40,21,1,27.333333333333332
INC0020,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,14,0,13.766666666666667
INC0021,Variant 3,Medium,Incident,Email,8,3,1.0,0,24,1,0,13.633333333333333
INC0022,Variant 6,Medium,Performance Issue,Email,10,5,2.0,0,50,16,0,14.266666666666667
INC0023,Variant 4,High,Bug,Email,7,3,1.0,0,21,15,1,6.766666666666667
INC0024,Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,20,1,21.15
INC0025,Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,5,0,19.233333333333334
INC0026,Variant 3,Medium,Incident,Website,8,4,1.0,0,32,7,0,12.733333333333333
INC0027,Variant 1,Low,Performance Issue,App,6,3,0.0,0,18,20,0,22.833333333333332
INC0028,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,17,1,14.216666666666667
INC0029,Variant 5,Medium,Technical Issue,Phone,12,5,1.0,1,60,7,0,20.383333333333333
INC0030,Variant 4,Low,Feature Request,Email,7,4,1.0,0,28,15,0,28.15
INC0031,Variant 10,Medium,Incident,Website,6,4,1.0,1,24,7,1,8.75
INC0032,Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,2,1,7.166666666666667
INC0033,Variant 6,Low,Bug,Email,10,7,2.0,0,70,7,1,35.5
